"","trans1","sds","meanx"
"Age_at_Maturity","log","1.27400822637844","1.29193349018045"
"Mean_repro","log","1.62788211328329","-0.808296742094705"
"survival_index999","log","1.24676689717873","-2.22691309843711"
"Repro_life_expectancy","log","1.87890616913733","1.50027438145235"
"GiniF_999","sqrt","0.279914691568151","1.64648834773055"
"Gen_time","log","1.66120604022158","1.85907279099533"
