"","SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue","UID1","checkY","checknote","habitatAuthor","UID_new","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","Survival_index999","Survival_index_La_RepExp","Growth","Retrogression","Repro_life_expectancy","Age_at_Maturity","GiniF_repro","Gini_life99","Gini_life999","Gen_time","NSeedStages"
"3717","Orchis_purpurea","Orchis purpurea","Lady orchid","Orchis","Orchidaceae","Asparagales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyns; Brys; Jongejans","Ecology","2010","10.1890/08-2321.1","Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010",7,2002,2008,"1",6,"Number of leaves","No","No","Shaded site 1",50.75,5.75,102,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2002,NA,NA,2008,NA,NA,"Divided","Yes","Shaded woodland",6,1,1,"Y","matrices seem to be correctly inputted. There are likely to be problems with lifespan 
  calculated due to low observed mortality last three life stages over time span of study. ","Shaded woodland",65,0.0229689107890629,0.846850814871239,2,3,3,0.666666666666667,0.666666666666667,0.0465364524085013,0.258736987264856,0.203583446945396,36.1877868183825,6.78927517258786,NA,NA,NA,45.0628680318046,2
"3724","Orchis_purpurea","Orchis purpurea","Lady orchid","Orchis","Orchidaceae","Asparagales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyns; Brys; Jongejans","Ecology","2010","10.1890/08-2321.1","Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010",7,2002,2008,"1",6,"Number of leaves","No","No","Shaded site 2",50.75,5.75,102,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2002,NA,NA,2008,NA,NA,"Divided","Yes","Shaded woodland",6,1,2,"Y","matrices seem to be correctly inputted. There are likely to be problems with lifespan 
  calculated due to low observed mortality last three life stages over time span of study. ","Shaded woodland",66,0.0267394076595639,0.581834605439261,2,3,3,0.666666666666667,0.666666666666667,0.0753135616494118,0.250167566571196,0.177220727649818,19.5726284708019,6.98301378271541,NA,NA,NA,30.6791934625698,2
"3731","Orchis_purpurea","Orchis purpurea","Lady orchid","Orchis","Orchidaceae","Asparagales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyns; Brys; Jongejans","Ecology","2010","10.1890/08-2321.1","Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010",7,2002,2008,"1",6,"Number of leaves","No","No","Shaded site 3",50.75,5.75,102,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2002,NA,NA,2008,NA,NA,"Divided","Yes","Shaded woodland",6,1,3,"Y","matrices seem to be correctly inputted. There are likely to be problems with lifespan 
  calculated due to low observed mortality last three life stages over time span of study. ","Shaded woodland",67,0.019128324312699,1.40378081700119,2,2,3,1,0.666666666666667,0.0255057637591046,0.196518868357042,0.157507561959081,70.6236802710367,7.78996845908908,NA,NA,NA,65.7422642739774,2
"3738","Orchis_purpurea","Orchis purpurea","Lady orchid","Orchis","Orchidaceae","Asparagales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyns; Brys; Jongejans","Ecology","2010","10.1890/08-2321.1","Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010",7,2002,2008,"1",6,"Number of leaves","No","No","Light Environment 1",50.75,5.75,102,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2002,NA,NA,2008,NA,NA,"Divided","Yes","Open woodland",6,0.974666666666667,4,"Y","matrices seem to be correctly inputted. There are likely to be problems with lifespan 
  calculated due to low observed mortality last three life stages over time span of study. ","Open woodland",68,0.129787946325771,5.00591267391308,2,3,3,0.666666666666667,0.666666666666667,0.0547509424074231,0.305740023307387,0.0853323224832753,30.7936051703824,5.7354464232362,NA,1,1,22.5226595746194,2
"3745","Orchis_purpurea","Orchis purpurea","Lady orchid","Orchis","Orchidaceae","Asparagales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyns; Brys; Jongejans","Ecology","2010","10.1890/08-2321.1","Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010",7,2002,2008,"1",6,"Number of leaves","No","No","Light Environment 2",50.75,5.75,102,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2002,NA,NA,2008,NA,NA,"Divided","Yes","Open woodland",6,1,5,"Y","matrices seem to be correctly inputted. There are likely to be problems with lifespan 
  calculated due to low observed mortality last three life stages over time span of study. ","Open woodland",69,0.110127057447752,11.4360371552409,2,3,30,0.666666666666667,0.0666666666666667,0.0239694179573622,0.308037895196705,0.110284361954894,78.2376681481186,5.20198831570044,0.0133966284434707,1,0.126251776413666,31.3145851126889,2
"3752","Orchis_purpurea","Orchis purpurea","Lady orchid","Orchis","Orchidaceae","Asparagales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyns; Brys; Jongejans","Ecology","2010","10.1890/08-2321.1","Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010",7,2002,2008,"1",6,"Number of leaves","No","No","Light Environment 3",50.75,5.75,102,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2002,NA,NA,2008,NA,NA,"Divided","Yes","Grassland",6,1,6,"Y","matrices seem to be correctly inputted. There are likely to be problems with lifespan 
  calculated due to low observed mortality last three life stages over time span of study. ","Grassland",70,0.0307500493279622,2.97621472444797,2,3,64,0.666666666666667,0.03125,0.019105784421706,0.242505202193071,0.175564413588967,99.6568034414253,5.02353607542871,0.00220811236822681,NA,0.0549188464458396,63.8727568211705,2
"3777","Paeonia_officinalis","Paeonia officinalis",NA,"Paeonia","Paeoniaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche","Popul Ecol","2013","10.1007/s10144-012-0346-1",NA,6,2003,2008,"1",1,"Number of stems, number of leaves per stem; lenght and widthof the largest leaf of each stem","Yes","No","Open habitat",43.7666666666667,3.01666666666667,760,"FRA","Europe","MED","A","Individual","Unmanipulated","W",2003,NA,6,2008,NA,6,"Divided","Yes",NA,5,0.96,7,"Y_edits","Exclude managed population","Open habitat",71,1.13869591158053,29.8339142023179,3,37,74,0.0810810810810811,0.0405405405405405,0.139721201665335,0.123975709399525,0.0147330770679978,17.7802226156261,3.69110717715434,0.0289349780848522,0.10881096425279,0.0547570125385357,7.33359897022339,2
"3784","Paeonia_officinalis","Paeonia officinalis",NA,"Paeonia","Paeoniaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Andrieu; Freville; Besnord; Vaudey; Gauthier; Thompson; Debussche","Popul Ecol","2013","10.1007/s10144-012-0346-1",NA,6,2003,2008,"1",1,"Number of stems, number of leaves per stem; lenght and widthof the largest leaf of each stem","Yes","No","Woodland",43.7666666666667,3.01666666666667,760,"FRA","Europe","MED","A","Individual","Unmanipulated","W",2003,NA,6,2008,NA,6,"Divided","Yes",NA,5,0.996,8,"Y_edits","Exclude managed population","Woodland",72,0.0252412782663431,0.0816181969076782,2,31,58,0.0645161290322581,0.0344827586206897,0.0766159908785164,0.0517508338195456,0.0746767030428845,14.8814463823217,11.2227647238328,0.00431655301878375,0.184730151986336,0.100465433094618,33.7741697879517,2
