Name_submitted,Name_matched,Name_match_with_do_not_use,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,Checked_ruth
Alliaria petiolata,Alliaria petiolata,Alliaria petiolata,1,Accepted,Alliaria petiolata,(M. Bieb.) Cavara & Grande,Brassicaceae,tropicos;usda, ,,
Allium sativum,Allium sativum,Allium sativum,1,Accepted,Allium sativum,L.,Amaryllidaceae,tpl;tropicos;usda, ,,
Allium tricoccum,Allium tricoccum,Allium tricoccum,1,Accepted,Allium tricoccum,Aiton,Amaryllidaceae,tpl;tropicos;usda, ,,
Allium vineale,Allium vineale,Allium vineale,1,Accepted,Allium vineale,L.,Amaryllidaceae,tpl;tropicos;usda, ,,
Aloe peglerae,Aloe peglerae,Aloe peglerae,1,Accepted,Aloe peglerae,Sch?nland,Xanthorrhoeaceae,tpl;tropicos, ,,
Alternanthera philoxeroides,Alternanthera philoxeroides,Alternanthera philoxeroides,1,Accepted,Alternanthera philoxeroides,(Mart.) Griseb.,Amaranthaceae,tpl;tropicos;usda, ,,
Alyxia stellata,Alyxia stellata,Alyxia stellata,1,Accepted,Alyxia stellata,(J.R.Forst. & G.Forst.) Roem. & Schult.,Apocynaceae,tpl, ,,
Alyxia stellata,Alyxia stellata,Alyxia stellata,1,Accepted,Alyxia stellata,(J.R. Forst. & G. Forst.) Roem. & Schult.,Apocynaceae,usda, ,,
Ambrosia deltoidea,Ambrosia deltoidea,Ambrosia deltoidea,1,Accepted,Ambrosia deltoidea,(Torr.) W.W.Payne,Asteraceae,gcc, ,urn:lsid:compositae.org:names:41ACE642-E0D0-4EA7-B592-16C502CA55D7,
Ambrosia deltoidea,Ambrosia deltoidea,Ambrosia deltoidea,1,Accepted,Ambrosia deltoidea,(Torr.) W.W. Payne,Asteraceae,tropicos, ,,
Ambrosia deltoidea,Ambrosia deltoidea,Ambrosia deltoidea,1,Accepted,Ambrosia deltoidea,(Torr.) Payne,Asteraceae,usda, ,,
Ambrosia dumosa,Ambrosia dumosa,Ambrosia dumosa,1,Accepted,Ambrosia dumosa,(A.Gray) W.W.Payne,Asteraceae,gcc, ,urn:lsid:compositae.org:names:9191EBF3-B28C-4F1F-9146-9BCF90264DC4,
Ambrosia dumosa,Ambrosia dumosa,Ambrosia dumosa,1,Accepted,Ambrosia dumosa,(A. Gray) W.W. Payne,Asteraceae,tropicos, ,,
Ambrosia dumosa,Ambrosia dumosa,Ambrosia dumosa,1,Accepted,Ambrosia dumosa,(A. Gray) Payne,Asteraceae,usda, ,,
Anacamptis pyramidalis,Anacamptis pyramidalis,Anacamptis pyramidalis,1,Accepted,Anacamptis pyramidalis,(L.) Rich.,Orchidaceae,tpl, ,,
Anarrhinum fruticosum,Anarrhinum fruticosum,Do not use,1,Synonym,Anarrhinum orientale,Benth.,Plantaginaceae,tpl, [Ambiguous match] ,,Do not use
Anastatica hierochuntica,Anastatica hierochuntica,Anastatica hierochuntica,1,Accepted,Anastatica hierochuntica,L.,Brassicaceae,tpl;tropicos, ,,
Andropogon gerardii,Andropogon gerardii,Andropogon gerardii,1,Accepted,Andropogon gerardii,Vitman,Poaceae,tpl;usda, ,,
Androsace elongata,Androsace elongata,Androsace elongata,1,Accepted,Androsace elongata,L.,Primulaceae,tpl;tropicos;usda, ,,
Androsace elongata,Androsace elongata,Do not use,1,Synonym,Androsace filiformis,Retz.,Primulaceae,tpl, [Ambiguous match] ,,Do not use
Androsace elongata,Androsace elongata,Do not use,1,Synonym,Androsace septentrionalis,L.,Primulaceae,tpl, [Ambiguous match] ,,Do not use
Hepatica nobilis,Hepatica nobilis,Hepatica nobilis,1,Synonym,Anemone hepatica,L.,Ranunculaceae,tpl, ,,
Anemone patens,Anemone patens,Anemone patens,1,Accepted,Anemone patens,L.,Ranunculaceae,tpl;tropicos, ,,
Anisoptera laevis,Anisoptera laevis,Anisoptera laevis,1,Accepted,Anisoptera laevis,Ridl.,Dipterocarpaceae,tpl, ,,
Anthericum liliago,Anthericum liliago,Anthericum liliago,1,Accepted,Anthericum liliago,L.,Asparagaceae,tpl;tropicos, ,,
Anthericum ramosum,Anthericum ramosum,Anthericum ramosum,1,Accepted,Anthericum ramosum,L.,Asparagaceae,tpl;tropicos, ,,
Anthoxanthum odoratum,Anthoxanthum odoratum,Anthoxanthum odoratum,1,Accepted,Anthoxanthum odoratum,L.,Poaceae,tpl;tropicos;usda, ,,
Anthriscus caucalis,Anthriscus caucalis,Anthriscus caucalis,1,Accepted,Anthriscus caucalis,M.Bieb.,Apiaceae,tpl, ,,
Anthriscus caucalis,Anthriscus caucalis,Anthriscus caucalis,1,Accepted,Anthriscus caucalis,M. Bieb.,Apiaceae,tropicos;usda, ,,
Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,1,Accepted,Anthyllis vulneraria,,Fabaceae,tpl, ,,
Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,1,Accepted,Anthyllis vulneraria,L.,Fabaceae,ildis;tropicos;usda, ,,
Aquilaria malaccensis,Aquilaria malaccensis,Aquilaria malaccensis,1,Accepted,Aquilaria malaccensis,Lam.,Thymelaeaceae,tpl;tropicos, ,,
Aquilaria malaccensis,Aquilaria malaccensis,Do not use,1,Synonym,Aquilaria sinensis,(Lour.) Spreng.,Thymelaeaceae,tpl, ,,Do not use
Aquilegia chrysantha,Aquilegia chrysantha,Aquilegia chrysantha,1,Accepted,Aquilegia chrysantha,A.Gray,Ranunculaceae,tpl, ,,
Aquilegia chrysantha,Aquilegia chrysantha,Aquilegia chrysantha,1,Accepted,Aquilegia chrysantha,A. Gray,Ranunculaceae,tropicos;usda, ,,
Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,1,Accepted,Arabidopsis thaliana,(L.) Heynh.,Brassicaceae,tpl;tropicos;usda, ,,
Arabis alpina,Arabis alpina,Arabis alpina,1,Accepted,Arabis alpina,L.,Brassicaceae,tpl;tropicos;usda, ,,
Arabis alpina,Arabis alpina,Do not use,1,Synonym,Arabis caucasica,Willd.,Brassicaceae,tpl, [Ambiguous match] ,,Do not use
Arabidopsis lyrata,Arabidopsis lyrata,Arabidopsis lyrata,1,Synonym,Arabis lyrata,L.,Brassicaceae,usda, ,,Okay use matched name
Arabis alpina,Arabis alpina,Do not use,1,Synonym,Arabis planisiliqua,(Pers.) Rchb.,Brassicaceae,tpl, [Ambiguous match] ,,Do not use
Arabis alpina,Arabis alpina,Do not use,1,Synonym,Arabis sagittata,(Bertol.) DC.,Brassicaceae,tpl, [Ambiguous match] ,,Do not use
Araucaria araucana,Araucaria araucana,Araucaria araucana,1,Accepted,Araucaria araucana,(Molina) K.Koch,Araucariaceae,tpl, ,,
Araucaria araucana,Araucaria araucana,Araucaria araucana,1,Accepted,Araucaria araucana,(Molina) K. Koch,Araucariaceae,tropicos;usda, ,,
Araucaria cunninghamii,Araucaria cunninghamii,Araucaria cunninghamii,1,Accepted,Araucaria cunninghamii,Mudie,Araucariaceae,tpl, ,,
Araucaria cunninghamii,Araucaria cunninghamii,Araucaria cunninghamii,1,Accepted,Araucaria cunninghamii,Aiton ex D. Don,Araucariaceae,tropicos;usda, ,,
Araucaria hunsteinii,Araucaria hunsteinii,Araucaria hunsteinii,1,Accepted,Araucaria hunsteinii,K.Schum.,Araucariaceae,tpl, ,,
Araucaria laubenfelsii,Araucaria laubenfelsii,Araucaria laubenfelsii,1,Accepted,Araucaria laubenfelsii,Corbasson,Araucariaceae,tpl, ,,
Arctophila fulva,Arctophila fulva,Arctophila fulva,1,Accepted,Arctophila fulva,(Trin.) Andersson,Poaceae,tpl;tropicos, ,,
Arctophila fulva,Arctophila fulva,Arctophila fulva,1,Accepted,Arctophila fulva,(Trin.) Rupr. ex Andersson,Poaceae,usda, ,,
Ardisia elliptica,Ardisia elliptica,Ardisia elliptica,1,Accepted,Ardisia elliptica,Thunb.,Primulaceae,tpl;tropicos;usda, ,,
Arenaria serpyllifolia,Arenaria serpyllifolia,Arenaria serpyllifolia,1,Accepted,Arenaria serpyllifolia,L.,Caryophyllaceae,tpl;tropicos;usda, [Ambiguous match] ,,
Arenaria serpyllifolia,Arenaria serpyllifolia,Arenaria serpyllifolia,1,Accepted,Arenaria serpyllifolia,Bourg. ex Willk. & Lange,Caryophyllaceae,tropicos, [Ambiguous match] ,,
Potentilla anserina,Potentilla anserina,Potentilla anserina,1,Synonym,Argentina anserina,(L.) Rydb.,Rosaceae,usda, ,,Okay
Argyroxiphium sandwicense,Argyroxiphium sandwicense,Argyroxiphium sandwicense,1,Accepted,Argyroxiphium sandwicense,DC.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:99B112F0-A487-4BD2-B016-4ABBBC9E1DD2,
Ariocarpus fissuratus,Ariocarpus fissuratus,Ariocarpus fissuratus,1,Accepted,Ariocarpus fissuratus,(Engelm.) K.Schum.,Cactaceae,tpl, ,,
Ariocarpus fissuratus,Ariocarpus fissuratus,Ariocarpus fissuratus,1,Accepted,Ariocarpus fissuratus,(Engelm.) K. Schum.,Cactaceae,tropicos;usda, ,,
Arisaema triphyllum,Arisaema triphyllum,Arisaema triphyllum,1,Accepted,Arisaema triphyllum,(L.) Schott,Araceae,tpl;tropicos;usda, ,,
Arisaema triphyllum,Arisaema triphyllum,Arisaema triphyllum,1,Synonym,Arisaema triphyllum,(L.) Schott,Araceae,tpl, ,,
Aristida bipartita,Aristida bipartita,Aristida bipartita,1,Accepted,Aristida bipartita,(Nees) Trin. & Rupr.,Poaceae,tpl;tropicos, ,,
Armeria maritima,Armeria maritima,Armeria maritima,1,Accepted,Armeria maritima,(Mill.) Willd.,Plumbaginaceae,tpl;tropicos;usda, ,,
Armeria maritima,Armeria maritima,Armeria maritima,1,Synonym,Armeria ruscinonensis,Girard,Plumbaginaceae,tpl, ,,
Artemisia genipi,Artemisia genipi,Artemisia genipi,1,Accepted,Artemisia genipi,Weber ex Stechm.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:0D6F6BB0-A1E6-432C-A04C-26DFB7140DB3,
Asarum canadense,Asarum canadense,Asarum canadense,1,Accepted,Asarum canadense,L.,Aristolochiaceae,tpl;tropicos;usda, ,,
Aspasia principissa,Aspasia principissa,Aspasia principissa,1,Accepted,Aspasia principissa,Rchb.f.,Orchidaceae,tpl, ,,
Aspasia principissa,Aspasia principissa,Aspasia principissa,1,Accepted,Aspasia principissa,Rchb. f.,Orchidaceae,tropicos, ,,
Asplenium adulterinum,Asplenium adulterinum,Asplenium adulterinum,1,Accepted,Asplenium adulterinum,Milde,Aspleniaceae,tpl;tropicos;usda, ,,
Asplenium cuneifolium,Asplenium cuneifolium,Asplenium cuneifolium,1,Accepted,Asplenium cuneifolium,viv,,tropicos,,,okay to use - added from tropicos
Asplenium scolopendrium,Asplenium scolopendrium,Asplenium scolopendrium,1,Accepted,Asplenium scolopendrium,L.,Aspleniaceae,tpl;tropicos;usda, ,,
Aster amellus,Aster amellus,Aster amellus,1,Accepted,Aster amellus,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:AF9F4972-4B16-43AE-85A1-0B92FF929061,
Astragalus alopecurus,Astragalus alopecurus,Astragalus alopecurus,1,Accepted,Astragalus alopecurus,Pall.,Fabaceae,ildis;usda, ,,
Astragalus scaphoides,Astragalus scaphoides,Astragalus scaphoides,1,Accepted,Astragalus scaphoides,(M.E.Jones)Rydb.,Fabaceae,ildis, ,,
Astragalus scaphoides,Astragalus scaphoides,Astragalus scaphoides,1,Accepted,Astragalus scaphoides,(M.E. Jones) Rydb.,Fabaceae,tropicos;usda, ,,
Astrocaryum chambira,Astrocaryum chambira,Astrocaryum chambira,1,Accepted,Astrocaryum chambira,Burret,Arecaceae,tpl;tropicos, ,,
Astrocaryum mexicanum,Astrocaryum mexicanum,Astrocaryum mexicanum,1,Accepted,Astrocaryum mexicanum,Liebm. ex Mart.,Arecaceae,tpl;tropicos, ,,
Astrocaryum standleyanum,Astrocaryum standleyanum,Astrocaryum standleyanum,1,Accepted,Astrocaryum standleyanum,L.H.Bailey,Arecaceae,tpl, ,,
Astrocaryum standleyanum,Astrocaryum standleyanum,Astrocaryum standleyanum,1,Accepted,Astrocaryum standleyanum,L.H. Bailey,Arecaceae,tropicos, ,,
Astrophytum asterias,Astrophytum asterias,Astrophytum asterias,1,Accepted,Astrophytum asterias,(Zucc.) Lem.,Cactaceae,tpl;tropicos;usda, ,,
Atriplex canescens,Atriplex canescens,Atriplex canescens,1,Accepted,Atriplex canescens,(Pursh) Nutt.,Amaranthaceae,tpl;tropicos;usda, ,,
Atriplex vesicaria,Atriplex vesicaria,Atriplex vesicaria,1,Accepted,Atriplex vesicaria,Heward ex Benth.,Amaranthaceae,tpl;tropicos;usda, ,,
Avicennia germinans,Avicennia germinans,Avicennia germinans,1,Accepted,Avicennia germinans,(L.) L.,Acanthaceae,tpl;tropicos;usda, ,,
Avicennia marina,Avicennia marina,Avicennia marina,1,Accepted,Avicennia marina,(Forssk.) Vierh.,Acanthaceae,tpl;tropicos;usda, ,,
